keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
sober curious,2900,29,4.56,commercial,4.4969,alcohol_moderation
sober curious meaning,1300,27,2.15,informational,1.3836,alcohol_moderation
what is sober curious,1000,27,2.81,informational,1.1222,alcohol_moderation
what does sober curious mean,880,12,0.21,informational,0.9488,alcohol_moderation
sober curious books,260,0,0.74,commercial,0.4189,alcohol_moderation
sober-curious movement,390,35,0.55,commercial,0.4012,alcohol_moderation
sober curious movement,390,35,0.55,commercial,0.4012,alcohol_moderation
sober curious book,260,6,0.74,transactional,0.21,alcohol_moderation
sober curious drink,70,0,3.86,commercial,0.1455,alcohol_moderation
sober curious drinks,70,0,3.86,commercial,0.1455,alcohol_moderation
sober curious podcasts,70,4,0,commercial,0.1008,alcohol_moderation
what does sober curious mean on tinder,70,0,0,informational,0.084,alcohol_moderation
what is sober curious mean,70,16,0,informational,0.0706,alcohol_moderation
what does it mean to be sober curious,70,28,0,informational,0.0605,alcohol_moderation
sober curious reddit,140,0,0,navigational,0.042,alcohol_moderation
reddit sober curious,70,0,0,navigational,0.021,alcohol_moderation
